"Wavelength, µm","n","k"
0.382159,,1.49167
0.382448,1.59676
0.382449,1.58767
0.390954,,1.7491
0.393452,1.91549
0.398225,,1.91465
0.406792,,1.9394
0.407106,2.48886
0.418525,2.83481
0.419664,,1.73774
0.423568,2.93503
0.432233,,1.5483
0.444625,3.1995
0.447604,,1.36503
0.45849,,1.11428
0.465239,3.31843
0.4777,,0.735131
0.479315,3.20072
0.498054,,0.564136
0.515288,,0.546108
0.516095,2.79275
0.543762,,0.754785
0.550838,2.45731
0.566905,,1.12863
0.568685,2.45774
0.583677,,1.44725
0.584897,2.69446
0.599306,,1.60666
0.605729,3.24945
0.608212,,1.57005
0.621308,,1.44778
0.625726,3.63166
0.631743,,1.21526
0.648841,3.74118
0.655431,,0.793104
0.684723,,0.499558
0.685993,3.60544
0.747263,,0.243034
0.886647,2.88974
0.894152,,0.0910849
